Latitude,Longitude,Speed,Heading,Timestamp
42.10366,-87.78469,59.9,140.7,2018-09-21 14:09:53:660
42.10354,-87.78457,61,141.9,2018-09-21 14:09:54:160
42.10354,-87.78457,61,141.9,2018-09-21 14:09:54:660
42.10342,-87.78444,61.1,141.3,2018-09-21 14:09:55:161
42.10342,-87.78444,61.1,141.3,2018-09-21 14:09:55:660
42.1033,-87.78431,62.9,141.6,2018-09-21 14:09:56:161
42.1033,-87.78431,62.9,141.6,2018-09-21 14:09:56:660
42.10319,-87.78418,63.2,141.7,2018-09-21 14:09:57:160
42.10319,-87.78418,63.2,141.7,2018-09-21 14:09:57:660
42.10307,-87.78404,64.2,141.2,2018-09-21 14:09:58:160
42.10307,-87.78404,64.2,141.2,2018-09-21 14:09:58:660
42.10293,-87.78391,64.6,141.9,2018-09-21 14:09:59:161
42.10293,-87.78391,64.6,141.9,2018-09-21 14:09:59:660
42.1028,-87.78378,65.2,142.6,2018-09-21 14:10:00:161
42.1028,-87.78378,65.2,142.6,2018-09-21 14:10:00:660
42.10267,-87.78361,68.3,137.6,2018-09-21 14:10:01:160
42.10267,-87.78361,68.3,137.6,2018-09-21 14:10:01:660
42.10256,-87.78347,65.6,138.2,2018-09-21 14:10:02:161
42.10256,-87.78347,65.6,138.2,2018-09-21 14:10:02:660
42.10242,-87.78332,64.8,139.8,2018-09-21 14:10:03:161
42.10242,-87.78332,64.8,139.8,2018-09-21 14:10:03:660
42.10235,-87.78317,62.4,136.2,2018-09-21 14:10:04:160
42.10235,-87.78317,62.4,136.2,2018-09-21 14:10:04:661
42.10223,-87.78302,60.6,133,2018-09-21 14:10:05:161
42.10223,-87.78302,60.6,133,2018-09-21 14:10:05:660
42.10212,-87.78287,60,129.4,2018-09-21 14:10:06:161
42.10212,-87.78287,60,129.4,2018-09-21 14:10:06:660
42.10203,-87.78272,59.6,126.7,2018-09-21 14:10:07:160
42.10203,-87.78272,59.6,126.7,2018-09-21 14:10:07:660
42.10195,-87.78254,60.8,123.5,2018-09-21 14:10:08:160
42.10195,-87.78254,60.8,123.5,2018-09-21 14:10:08:660
42.10187,-87.78237,60,120.8,2018-09-21 14:10:09:160
42.10187,-87.78237,60,120.8,2018-09-21 14:10:09:661
42.1018,-87.78219,60.2,117.1,2018-09-21 14:10:10:160
42.1018,-87.78219,60.2,117.1,2018-09-21 14:10:10:660
42.10174,-87.78201,59.6,114.7,2018-09-21 14:10:11:161
42.10174,-87.78201,59.6,114.7,2018-09-21 14:10:11:660
42.10168,-87.78182,59.3,111.3,2018-09-21 14:10:12:161
42.10168,-87.78182,59.3,111.3,2018-09-21 14:10:12:660
42.10164,-87.78164,58.4,107.2,2018-09-21 14:10:13:163
42.10164,-87.78164,58.4,107.2,2018-09-21 14:10:13:660
42.1016,-87.78146,58.3,103.6,2018-09-21 14:10:14:160
42.1016,-87.78146,58.3,103.6,2018-09-21 14:10:14:660
42.10158,-87.78127,58.6,99.7,2018-09-21 14:10:15:160
42.10158,-87.78127,58.6,99.7,2018-09-21 14:10:15:660
42.10157,-87.78108,58.4,97.3,2018-09-21 14:10:16:160
42.10157,-87.78108,58.4,97.3,2018-09-21 14:10:16:661
42.10156,-87.78088,58.4,94.9,2018-09-21 14:10:17:160
42.10156,-87.78088,58.4,94.9,2018-09-21 14:10:17:660
42.10157,-87.78069,58.4,90.9,2018-09-21 14:10:18:160
42.10157,-87.78069,58.4,90.9,2018-09-21 14:10:18:660
42.10157,-87.78048,60.3,90.7,2018-09-21 14:10:19:160
42.10157,-87.78048,60.3,90.7,2018-09-21 14:10:19:660
42.10157,-87.78028,61.1,90.5,2018-09-21 14:10:20:160
42.10157,-87.78028,61.1,90.5,2018-09-21 14:10:20:660
