linkIdMatched,matchOffsetOnLink,Speed,,,,,,,,,,,,,,,
-1231535047,0.924186253,64.2,,,,,,,,,,,,,,,
-1231535047,0.924186379,64.2,,,,,,,,,,,,,,,
-1231535047,0.825629244,64.6,,,,,,,,,,,,,,,
-1231535047,0.825628845,64.6,,,,,,,,,,,,,,,
-1231535047,0.731620888,65.2,,,,,,,,,,,,,,,
-1231535047,0.731620094,65.2,,,,,,,,,,,,,,,
-1231535047,0.626881493,68.3,,,,,,,,,,,,,,,
-1231535047,0.626880704,68.3,,,,,,,,,,,,,,,
-1231535047,0.53936659,65.6,,,,,,,,,,,,,,,
-1231535047,0.539365765,65.6,,,,,,,,,,,,,,,
-1231535047,0.433405822,64.8,,,,,,,,,,,,,,,
-1231535047,0.433404686,64.8,,,,,,,,,,,,,,,
-1231535047,0.359009448,62.4,,,,,,,,,,,,,,,
-1231535047,0.359009448,62.4,,,,,,,,,,,,,,,
-1231535047,0.262015766,60.6,,,,,,,,,,,,,,,
-1231535047,0.262015766,60.6,,,,,,,,,,,,,,,
-1231535047,0.169680046,60,,,,,,,,,,,,,,,
-1231535047,0.169679502,60,,,,,,,,,,,,,,,
-1231535047,0.086100797,59.6,,,,,,,,,,,,,,,
-1231535047,0.086100582,59.6,,,,,,,,,,,,,,,
-1173154077,0.988956838,60.8,,,,,,,,,,,,,,,
-1173154077,0.988958265,60.8,,,,,,,,,,,,,,,
-1173154077,0.81622183,60,,,,,,,,,,,,,,,
-1173154077,0.816222058,60,,,,,,,,,,,,,,,
-1173154077,0.6386364,60.2,,,,,,,,,,,,,,,
-1173154077,0.638635863,60.2,,,,,,,,,,,,,,,
-1173154077,0.469144532,59.6,,,,,,,,,,,,,,,
-1173154077,0.469143871,59.6,,,,,,,,,,,,,,,
-1173154077,0.290795354,59.3,,,,,,,,,,,,,,,
-1173154077,0.290794623,59.3,,,,,,,,,,,,,,,
-1173154077,0.128022127,58.4,,,,,,,,,,,,,,,
-1173154077,0.128021888,58.4,,,,,,,,,,,,,,,
-1173154077,0,58.3,,,,,,,,,,,,,,,
-1173154077,0,58.3,,,,,,,,,,,,,,,
-1173154076,0.749941288,58.6,,,,,,,,,,,,,,,
-1173154076,0.749941281,58.6,,,,,,,,,,,,,,,
-1173154076,0.542508826,58.4,,,,,,,,,,,,,,,
-1173154076,0.542508716,58.4,,,,,,,,,,,,,,,
-1173154076,0.32586734,58.4,,,,,,,,,,,,,,,
-1173154076,0.325867316,58.4,,,,,,,,,,,,,,,
-1173154076,0.118838455,58.4,,,,,,,,,,,,,,,
-1173154076,0.118838372,58.4,,,,,,,,,,,,,,,
1173153064,0.083333333,60.3,,,,,,,,,,,,,,,
1173153064,0.083333333,60.3,,,,,,,,,,,,,,,
1173153064,0.25,61.1,,,,,,,,,,,,,,,
1173153064,0.25,61.1,,,,,,,,,,,,,,,
1173153064,0.408333333,61.7,,,,,,,,,,,,,,,
1173153064,0.408333333,61.7,,,,,,,,,,,,,,,
1173153064,0.591666667,62.1,,,,,,,,,,,,,,,
1173153064,0.591666667,62.1,,,,,,,,,,,,,,,
1173153064,0.766666667,62.5,,,,,,,,,,,,,,,
1173153064,0.766666667,62.5,,,,,,,,,,,,,,,
1173153064,0.941666667,62.1,,,,,,,,,,,,,,,
1173153064,0.941666667,62.1,,,,,,,,,,,,,,,
-1173153065,0.895533995,62.3,,,,,,,,,,,,,,,
-1173153065,0.895533996,62.3,,,,,,,,,,,,,,,
-1173153065,0.738834986,62.2,,,,,,,,,,,,,,,
-1173153065,0.73883499,62.2,,,,,,,,,,,,,,,
-1173153065,0.589597836,61.3,,,,,,,,,,,,,,,
-1173153065,0.589597841,61.3,,,,,,,,,,,,,,,
-1173153065,0.43357075,61.5,,,,,,,,,,,,,,,
